iteration,ticks
0,268716
1,286707
2,261093
3,251727
4,265854
5,266106
6,264249
7,264000
8,295680
9,268854
10,251019
11,262623
12,255171
13,264615
14,254103
15,260139
16,260271
17,248385
18,259248
19,253692
20,247047
21,252393
22,228159
23,255942
24,207726
25,260880
26,261402
27,263751
28,264654
29,245268
30,244314
31,259155
32,245601
33,245142
34,259647
35,257901
36,248670
37,253845
38,231849
39,261738
40,268479
41,247671
42,248940
43,263286
44,265389
45,276816
46,241677
47,246813
48,263505
49,266766
50,255675
51,268752
52,262047
53,258645
54,254676
55,259938
56,252669
57,263157
58,253497
59,257376
60,259902
61,257073
62,259395
63,257967
64,256611
65,251610
66,277758
67,246057
68,282825
69,265902
70,269235
71,246819
72,233700
73,331698
74,263244
75,262518
76,253368
77,252924
78,312021
79,251979
80,283512
81,258147
82,256668
83,259653
84,224250
85,268152
86,251520
87,264978
88,270159
89,252579
90,253191
91,264276
92,250584
93,248208
94,249981
95,269694
96,246585
97,246393
98,292350
99,260766
100,251928
101,280269
102,251343
103,255984
104,298116
105,263649
106,254613
107,248934
108,262920
109,273108
110,248841
111,261291
112,282255
113,266028
114,281220
115,243621
116,236310
117,264957
118,256152
119,246699
120,249342
121,240303
122,271899
123,262908
124,241665
125,250518
126,245664
127,228132
128,252993
129,286341
130,247962
131,245688
132,256449
133,254193
134,251019
135,249186
136,252648
137,302874
138,266064
139,253620
140,254607
141,271782
142,251415
143,254442
144,261375
145,267084
146,255738
147,250095
148,224517
149,239259
150,260715
151,245478
152,262260
153,248082
154,266355
155,254034
156,244404
157,261330
158,253470
159,268002
160,243216
161,254316
162,256377
163,251169
164,249000
165,264255
166,251793
167,254634
168,276276
169,252738
170,296520
171,252174
172,250116
173,266139
174,259122
175,244509
176,295038
177,244743
178,272976
179,253329
180,246015
181,256299
182,254610
183,256143
184,273120
185,258198
186,263799
187,252939
188,256365
189,260352
190,248166
191,251100
192,251361
193,242778
194,252837
195,251859
196,236787
197,244644
198,261801
199,253500
200,231192
201,260814
202,248892
203,258345
204,264111
205,220482
206,253731
207,249399
208,241785
209,255693
210,268731
211,230004
212,248274
213,237891
214,261705
215,251937
216,246033
217,238719
218,257406
219,251493
220,259410
221,252927
222,259584
223,259470
224,254673
225,255102
226,238965
227,271047
228,229119
229,256767
230,265899
231,225780
232,245136
233,251256
234,258237
235,268122
236,257991
237,264426
238,237306
239,259035
240,253767
241,250485
242,256191
243,254199
244,262515
245,241362
246,255051
247,260721
248,250476
249,249681
250,242217
251,258111
252,265038
253,241641
254,265764
255,247065
256,277080
257,237888
258,250938
259,257457
260,259026
261,230487
262,253245
263,256401
264,260934
265,286632
266,252849
267,250539
268,267747
269,263121
270,249762
271,248502
272,265419
273,267426
274,242625
275,263994
276,261627
277,253788
278,251469
279,253446
280,250749
281,257424
282,253185
283,253773
284,254562
