iteration,ticks
0,1734
1,1554
2,1470
3,1470
4,1464
5,1464
6,1500
7,1482
8,1494
9,1473
10,1341
11,1485
12,1470
13,1476
14,1467
15,1479
16,1464
17,1479
18,1479
19,1467
20,1470
21,1446
22,1335
23,1461
24,1461
25,1488
26,2037
27,1491
28,1455
29,1464
30,1461
31,1467
32,1461
33,1782
34,1458
35,1467
36,1470
37,2013
38,1788
39,1461
40,1452
41,1464
42,1479
43,1461
44,1461
45,1569
46,1467
47,1479
48,1458
49,1461
50,1485
51,1542
52,1467
53,1473
54,1473
55,1464
56,1575
57,1479
58,1467
59,1482
60,1470
61,1467
62,1482
63,1476
64,1470
65,1329
66,1338
67,1476
68,1476
69,1467
70,1470
71,1314
72,1458
73,1473
74,1452
75,1893
76,2025
77,2022
78,1464
79,1458
80,1479
81,1464
82,1464
83,1326
84,1461
85,1467
86,1461
87,1467
88,1476
89,1455
90,1455
91,1485
92,2031
93,1473
94,1452
95,1458
96,1479
97,1575
98,1467
99,1317
100,1467
101,1458
102,2052
103,1470
104,1464
105,1461
106,1446
107,1467
108,1467
109,2076
110,1470
111,1476
112,1467
113,1476
114,1461
115,1470
116,1446
117,1458
118,1470
119,1329
120,1467
121,1470
122,1458
123,2028
124,1467
125,1446
126,1455
127,1479
128,1458
129,1470
130,1491
131,1473
132,1446
133,1470
134,1452
135,1461
136,1464
137,1464
138,1308
139,1317
140,1455
141,1779
142,1311
143,1467
144,1458
145,1464
146,1473
147,1464
148,1455
149,1467
150,1458
151,1455
152,1584
153,1461
154,1470
155,1473
156,1467
157,1482
158,1560
159,1458
160,1467
161,1308
162,1482
163,1566
164,1455
165,1467
166,1473
167,1464
168,1470
169,1332
170,1467
171,1497
172,1464
173,1458
174,1470
175,1548
176,1491
177,1461
178,1476
179,1476
180,1488
181,1314
182,1320
183,1473
184,1464
185,1311
186,1467
187,1467
188,1461
189,1461
190,1467
191,1464
192,1473
193,1461
194,1470
195,1470
196,1458
197,1461
198,1470
199,1461
200,2148
201,1452
202,1458
203,1479
204,1476
205,1464
206,1479
207,1461
208,1452
209,1464
210,1476
211,1479
212,1467
213,1446
